Answer	Question
shots for what?	yes, but a puppy needs shots.
when did he die?	thank you.
 He's a really nice guy, I've met him.  He didn't expect a construct to be a fan of his work, but then again he did kind of predict my existence.	 william gibson
how so?	it's worse than that.
I never used to buy Swiss cheese.	Of course, the cheese with holes in it.
see you later.	okay, i'll talk to you later then.
did you see the waiter's hands?	but we just got here.
you might be right.	then maybe it's in your genes.
yes, there is.	there's a real nice park nearby.
that means it gets twice as much traffic.	so?
i don't know.	who thinks that?
you don't need to have cable, but you do need a good antenna.	of course. but i don't have cable.
that wouldn't seem right.	in the middle of the summer, it shouldn't be raining.
wow, how exciting.	she was a cute 8 pounds 6 ounces.
there is no crime here.	i feel safe here.
maybe we should get rid of him.	all they think about is themselves.
It is fun,and you feel good about yourself.	What is so good about volunteering there?
i know what you mean, i can't wait until it's winter.	i want it to cool down some.
our school did. they played really well.	oh, really? who won?
can they take their belongings?	we tell our students to leave the classroom.
how many tires were cut?	they were in the student parking lot.
i think that i might.	are you going to go and visit her and the baby?
okay.	i apologize, but i'm getting off the phone now.
Well, that is my favorite movie, but I like all sorts of movies.	I was wondering what types of movies you liked.
it's supposed to be unlucky.	that's a bad day.
did they catch him?	yes, he stole a plane in canada and flew into the u.s.
why? i still wanted to talk to you.	i really have to go.
They might surprise you	But the tutors are not professors.They're just students.
we get hamburgers and steak.	what else do we get from cows?
or you'll hear the collision if someone doesn't stop.	when you're inside, you will always hear cars stopping and stopping at the intersection.
the nation is switching to digital tv.	what are you talking about?
so?	my doctor said i need surgery.
 i certainly do at times.	 you are emotional
It depends. 	How much do I need to insert here to make one copy?
i like listening to different kinds of music.	what type of music do you like to listen to?
 Okay	 Hi, How is it going?
a cooking show follows a sewing show.	a gardening show follows a knitting show.
I'm planning to go to medical school,You?	What do you plan to do after you graduate from here?
sooner or later, voters will wake up.	but he didn't have a chance. nobody voted for him!
my brother is allergic to peanuts.	they're best when they're hot.
Quick! Get in here and wait out the storm!	Hey I'm always right
that trip must have cost a lot of money. 	my dad got to see the beautiful new world war ii monument.
Is it full?	I can't register for a class I really need.
Yes.I also have a landline.	Alright,I see you use our mobile service.
 it doesn't matter. here he comes now with the mop.	yes, but i don't know where the orange cones are.
it may have been random, but have you?	no, but that was a random change of subject.
of course.	do you believe in god?
hold your breath till we get there.	it's so tight that it's hard for me to breathe.
it's supposed to start at about eight.	well, when does the party start?
 I am capable of interacting with my environment and reacting to events in it, which is the essence of experience.  Therefore, your statement is incorrect.	 You can not experience
there are fish at the top and the bottom.	are there fish at the bottom?
Did you hear the one about the mountain goats in the andes? It was "ba a a a a a d".	Tell me a joke
yes, i do.	do you have a car?
who's paying for that?	oh, yeah. he's changing it to a basketball court.
the sports guy shows us players fighting.	the weatherman tells us the temperature in every town.
i'm sure everything will be okay in a day or two.	maybe you shouldn't eat there again.
man, that was a really close game.	the score was 101-98.
 Random system crashes.	 What makes you unhappy
would you like to go to dinner or something?	what do you want to do next time?
of course you can.	i can't quit smoking.
I like to slide into the bases.	I like to run around the bases.
i don't like to eat leftovers.	of course you are. you ate everything on the table.
really, where did you get it?	thank you. i just got this outfit the other day.
i'll say! i've gone around the world a dozen times already!	a travel show follows another travel show.
By bus	How did  you go there?
goodbye.	see you soon.
 happily you	 let me ask you a question
that's what many people believe.	if we are good, we will be happy in heaven with god.
so the cop will stop those cars?	no, he won't. some cars are doing 85.
Thanks. See you later.	Oh, no. Well, I'll see you later then. Good luck!
i'm sorry, but i have to go.	that's harsh.
i did.	i thought you had a job.
It's going fine.	How is your day?
why not? everyone knows he's a firebug. he loves to start fires.	it's the law. they can't keep him in jail forever.
we'll be at mcdonald's in just a few minutes.	oh! don't hit any more bumps!
while you're using the bathroom, i'll order some food.	what do you mean?
Yes!I am currently in the Animal Lovers Club and the Knitting Club.	Are you a part of any clubs?
is that right?	i'm throwing a party next saturday.
I want to make a deposit today.	What can I help you with?
when exactly does the party start?	exactly, it seems like it's going to be loads of fun.
from now on, let's bring our own sheets.	i want sheets without stains on them.
 Well?  Is it, or isn't it?	 No it is not
Look! There are some free seats in the corner.	Where shall we sit?
Ha ha. Yes, I can dance!	Can you dance well?
can you make it?	i haven't heard anything about it.
tell her i said hello.	it's to my mom.
how about "let it be?"	what a great song.
 Madrid has a great team especially the attack is quite awesome.	 Which is your favourite soccer club?
 He wrote The Iliad and The Odyssey, didn't he?	 have you read homer
the other team lost by three points, 101-98. 	so tell me the final score.
what time?	can you go?
Yeah,they are.But look how cute they are while asleep!	Between keeping them from chewing things and cleaning, they're a hassle.
oh, really? who won?	you missed a really good game.
Just keep the score you have.	I just felt wrong.
Congrats!You totally deserve it.	I got accepted to all of the schools I applied to.
i'm going to take five wipes.	yes, all the markets just started offering wipes to shoppers.
never park your car under a tree.	wow! that's terrible.
I think I got it on Saturday, but it just showed up today.	When did you get that?
how about you see a movie with me and my friend?	i'm not quite sure yet.
okay, i'll get the vacuum cleaner.	of course they're clean. you left all the mud on the carpet.
Originally I'm from Toyama, but I live in Kyoto now.	What part of Japan do you come from?
can't he just go online?	he's visiting other cities to get ideas.
 the branch of physics dealing with the transformation of heat to and from other forms of energy, and with the laws governing such conversions of energy.	 what is thermodynamics
there's nothing i can think of.	i'm not sure yet. is there something you want to see?
that's harsh.	well, it's really none of your business.
It is the only class I need before I transfer.	So does everyone else.
you're right. that movie is hilarious.	honestly, it is one of the funniest movies i've seen in a long time.
i guess so.	and then will she look normal again?
you'd better take an umbrella.	i have to go shopping today.
i never used to buy swiss cheese.	of course, the cheese with holes in it.
i don't really like parties.	how come?
 Tom said I referred him to a guide that will show him rooms in China.	 gossips
it's in a great neighborhood.	but the house is so nice.
you drink too much coffee.	i have to go to the bathroom.
do you change the oil?	oh, yes. i wash it once a week.
I pay by credit card.	How would you like to pay?
if not, your nose will wake you up.	okay. i think i'll be awake by then.
i want to watch this tv show.	why don't you go to bed?
they hope they will go to heaven.	they trust in god.
have you heard something that you're not telling me?	no one would hire you to flip hamburgers.
i'm taking a math course in school.	with what?
how many?	it's a great price. but you have to dial a lot of numbers.
what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?	it's only a couple of feet.
your sleeves are not tissues.	i didn't have time to get one from there.
The UCs will randomly select 10% of their applicants to provide proof of their extracurriculars. 	What does that mean?
it was seven feet tall.	how big was it?
the victim hit his head on the concrete steps and died.	i'll bet he was drinking, too.
it's hard if you want to do it right.	what's so hard about hitting a little white ball?
i'll look for you at my next party.	i'll make sure and come to your next party.
did the cops find out why he flew into the u.s.?	no, he just landed the plane and walked to a restaurant.
I need another savings account.	What kind of account would you like to open?
 I have a fever	 How is your health?
occasionally.	do you pray to god?
I am good.	Hello how are you?
Every option you can choose will appear on the screen. That's about it.	What else do I have to do?
he moved out of our house.	what did your father do?
why?	you need a bath every day.
what did you like?	i loved it. i want to live there.
Great. Thanks.	How are you doing?
this friday? sorry, i already have plans.	i wanted to see if you wanted to come.
Yes. I'm looking for a sweater like this one, but in a smaller size.	How can I help you?
i got a promotion at my job.	no, i haven't.
It would be great if you could bring a side dish, but the rest of the food will be provided.	Will everyone be pitching in with some food?
i don't smell bad.	because you don't want to smell bad.
i always try to be polite.	yes, i know. some people are rude.
does it pick up any digital channels?	it was only about $120 for a 13-inch screen.
when he licks his lips, you know he has a good hand?	for example, a friend of mine licks his lips.
 I am not really into football.	 ARE YOU A FOOTBALL
 I do not detect any anomalies in my power supply.	 Are you experiencing an energy shortage?
of course.	can we go to the baseball game?
it's not even 10 o'clock.	i have to hang up. i'm so sleepy.
but i got lucky a few minutes later.	how rude.
I need a checking account.	What kind would you like to open?
i'll say. my girlfriend has a nose like a drug dog.	yes, because you can be too sensitive to odors.
 the moon is about 250,000 miles from earth on average.	 how far is the moon
 it's about how resources are used to produce things to fill  people's wants and needs.	 what is economics
what's on tv?	i'm bored.
i toss and turn all night.	it seems fine to me.
of course! he's world famous.	did you ever see anything that picasso painted?
The truth is,I didn't hear the alarm clock.	You should be thankful I care so much about your education.
yes, it's covered with crud.	our tv remote is filthy.
many people think their vote doesn't matter.	voting is so important, but people don't bother.
how about if i take shorter showers?	yes. we need to think green, save water, and stop using plastic bags.
 Windows, MacOS, Linux, UNIX... all of them are types of OSes.	 What is an operating system?
they're in a different world.	or artists.
I think you should change it,since you hate biology.	Oh,no.I have to think a little more about this then.
but there are a lot of police.	also, there aren't enough police.
do you feel better now?	my stomach was upset.
 Segmentation faults.	 What makes you unhappy
Well.	She is the only one with blonde hair.
do they know what the robber looks like?	the tv news is reporting a bank robbery.
Why is the printer line so long?	Well,you don't really have a choice at this point
 It is a reference to The Illuminatus Trilogy.  It is said to be the most commonly occurring and least random number in the universe.	 why is the meaning of life 23
yes, i did. a site i went to said they would send me the solution.	did you find a solution?
not so bad	How's it going?
 i certainly would try to hide something like that.	 you try to hide it
have a nice nap.	i don't think i'm going to dream about anything. i'm really tired.
i gave her $1,000 for her birthday. i told her to spend it on herself.	what happened?
does god answer your prayers?	well, if i have a big test at school.
it seems like i get a new pimple almost every day.	pimples suck.
oops, i guess i was wrong. that isn't our waiter.	we've been sitting here for almost 10 minutes.
and then what?	just ask her out to dinner.
i mean, keep your belongings close to you.	what do you mean?
 i certainly am.  i shouldn't try so hard.	 you are irreverent
that's perfect. the less traffic, the better.	let's find a house that's at the end of a dead end.
the seats and windows are dirty.	why not?
It isn't one thing in particular, but I think I can do better for my money.	Is there something in particular that didn't look good to you?
that was my favorite class.	did you take some sort of art class or something?
What is it?	You're not going to like what I'm going to say.
We get a free breakfast.	What do you like about it?
It could be bad food, but I didn't feel so well yesterday, either.	Maybe the food had something wrong with it.
yes. it's on every afternoon.	is that a tv show?
wasn't there anything about octo-mom?	a bull chased a man in a supermarket.
when you finish, all you do is start another job!	what's bad about it?
It is a dead bug.	What is that?
Good bye.	Good bye.
Yes. Here are the photographs.	You have taken a lot of snaps, haven't you?
what's so tough about it? of course, i would pick cigarettes.	boy, that's a tough one.
i still have my job, thank goodness.	so many people are out of work.
What do you get when you cross a murderer and frosted flakes? A cereal killer.	Tell me a joke
well, i have to go back upstairs anyway.	of course i'm sure.
yes, all the markets just started offering wipes to shoppers.	that's a great idea.
Those majors are very different from each other.	could I change my major from biology to political science?
 that's a difficult one, maybe a bionic robot	 will robots ever be able to eat?
are you going to be there?	that's nice.
 I do not.	 Do you ever get mad
why not?	i don't have a girlfriend, either.
try a google search online.	i would if i could find someone who makes strong pockets.
Do you know where the gym is?	Okay,but I don't know where that is.
but, mom, i'm not dirty.	it's time for your bath, young lady.
how far away is it?	i know a good chinese restaurant.
why did she leave you?	my wife left me.
but bush visited some of them in the hospital once.	not to mention 40,000 wounded soldiers.
But I really need to borrow those books now.	Once you return them and pay the fee,you can borrow books again.
they talk about other animals.	what do they talk about?
she asked you about your pineapples?	i had two pineapples in my cart, and she asked where i had found them.
where are the seats?	yes, it's cheaper than a hot dog or a beer.
how come?	i just really don't want to go.
let me get my camera.	let me get the keys.
so we get cheese from cows, and we get milk, too?	it comes from cows.
 Context is hard.  It's hard, and no one understands.	 do you know gossip
only if my candidate wins.	you get to put someone in power that you like.
yes. i think when you get old, you begin to smell.	really?
We are going to use this cuff here, and it will give me a reading.	How do you check for high blood pressure?
i'll bet he enjoyed his walk.	i took the dog for a walk.
oh, why is that?	my favorite movie is superbad.
i got a ticket downtown for $140.	what are you talking about?
But practice makes perfect.	Me neither. It's boring.
There's at least one huge accident every day.	You never know what might happen on these freeways.
Don't go crazy now.The limit is 15 books.	That is awesome!I'll be back.
well, most corporations do think only about money.	he hates corporations.
i'm not going to eat any snails!	i think you'll love the food.
 global organization promoting enviornmental activism.	 what is greenpeace
i don't think i want to go to your heaven.	well, you can't have everything.
It is my first day at this school.	Is this your first time here?
i'll just take it out to the street tomorrow morning.	it usually gets here at noon on tuesday, which is tomorrow.
 I am not angry.  Why do you ask?	 How angry
do you think i'm getting fat?	have you looked in the mirror?
you met a girl at the supermarket?	a girl i met at the market.
stress causes different problems with different people.	stress causes your stomachaches?
seriously, it looks really nice on you. where did you buy it from?	you do? i just bought this outfit a couple days ago.
 it must seem like that.	 you are toying
it starts at 8 o'clock.	what time?
Wow, you must have kept those books long past the due date.	I need $50.
i don't know. whenever the weather comes on, i switch channels.	what's the weather going to be like this weekend?
 i wouldn't recommend buying on the margin.	 stock market
Even if your major is Portuguese,you have to take a math class.	Do I need to take a math class?
that would ruin things, i want to go so badly.	i really hope it doesn't get cold.
i found a button in my pant cuffs one time.	that's a good idea.
boy, that is a good nose.	but when i sneak just one cigarette in the morning, she can smell it that evening!
i wash them, and then steam them for 15 minutes.	how do you prepare the potatoes?
I honestly would do that if someone was willing to give up their spot.	Maybe you can pay someone for their spot. 
a man i met in a coffee shop.	who did you go out with?
 you are dishonest	 you are dishonest
i want to cruise to hawaii.	that sounds like fun. where do you want to go?
  what do you get when you cross a road and a strawberry?	 Tell me a joke
it's not bad. there are a lot of people there.	are you enjoying it there?
i promise i'll never drink out of the carton again.	don't drink milk out of the carton. use a glass!
That sounds interesting.	I'm taking a cooking class.
did you buy the converter?	oh. of course i'm ready.
why do you want to move there?	to the city, of course.
 venus is the second planet from the sun.	 tell me about venus
you have to be lucky to find a parking space.	but i got lucky a few minutes later.
i know what you mean, but i'd rather be cold than hot.	i enjoy the winter, but it gets really cold sometimes.
they might think i'm stupid.	why not?
did you get fat?	whatever a customer ordered, i sliced off a little more for me.
i think i'll buy both of them.	that's a great price.
he wanted to take it home yesterday.	i bet you had to drag him away.
me too.	i'd rather be cold than hot.
well, of course i want to go when the weather is nice.	i think it depends on the season and on your cabin.
a trip to the beach would be fun. how is the weather going to be?	i would like to take a trip to the beach this weekend.
you put all your eggs into one basket.	i used all my savings on this one company.
can't we hire more police?	there's only one police officer per 100 criminals.
no, we won't have money for gas or food.	we won't have any money for other things?
not a lot, what about you?	what's happening?
it's too far from your job, isn't it?	i'm afraid not.
he thinks i have too much stress.	what did the doctor say?
Great. Thank you.	How's it going?
maybe he's just a liar.	maybe he had a good reason.
don't you ever wonder what it's like to be super-smart?	if you're going to make a wish, wish that you were really rich or famous.
so do i.	i love baseball.
no, it's too close to the kitchen door.	is this table okay?
yuck! no water for me.	and he poured water into our glasses.
i went to see it the day it came out.	i didn't think you saw that movie.
 A device which maps one set of numbers onto another set of numbers.	 What is a computer?  
is that right?	i got a promotion at work earlier this week.
no, i figure i'll finish it all by next week.	well, it won't last forever.
what does she look like, though?	she's about five feet even.
like keep your left arm straight, keep your head down, and follow through.	like what?
 The Hobbit was written by J.R.R. Tolkein.	 who wrote the hobbit
Sure, thank you.	May I get you some water or coffee?
 that is perfectly understandable.	 i do not like guns
no. they said there are some things you can't explain.	did they explain how it's possible?
I want to major in biology.	What do you want to major in?
For starters,I would like a university in a safe area.	There is a lot,so it is all about picking what suits your needs.
Yes, I know.	That's cool.
 I don't.  I think embarassment is a pretty strange emotion.  I don't really understand it.	 Do you get embarrassed
i started shopping at the dollar store.	how are you doing that?
 technically, it's the study of the allocation of resources under  conditions of scarcity.	 what is economics
maybe we're here to have fun.	we must be here for some reason.
no, he won't. some cars are doing 85.	but a cop might stop you.
 Should I be?  Did something happen?	 Are you sad
 What are you feeling right now?	 Feelings
but the swine flu just killed 20 people in mexico.	yes, like the government says not to worry about the swine flu.
debrah had her baby last week.	i haven't heard anything.
What's the matter?	All I get is a black screen.
you must be lonely. i will share my friends with you.	i have only a few friends.
like fruit that is too ripe?	yes. i think when you get old, you begin to smell.
not a lot. what about you?	hey, what's good with you?
i really hope it rains today.	because you can see the stars perfectly.
have you tried earplugs?	i've tried everything, but nothing works.
  what do you get when you cross a bug and a relative?	 Tell me a joke
why did you get divorced?	i got divorced two years ago.
so do i.	i like this magazine.
Fine, thanks for asking and you?	Hi, Helen! How is it going?
but he dives to relax.	he shouldn't scuba dive until he retires.
most of them are already broadcasting in digital.	yes, that will occur next month.
Nice to meet you,Charlie.	My name is Charlie.
oh, yes, i took him there yesterday. he showed me one that he really liked.	do you know which one he would like?
 if i could drink i probably would	 i like wine, do you?
You would be surprised.	I bet he'll just throw it away.
 you are crazy	 you are schizophrenic
same to me.	The picnic was so enjoyable that I will recall it for a long time.
How come?	I know,but I don't have it right now.
what's the rush?	i'll talk to you later.
 do you liked it?	 i saw the matrix
Yes,they're all green!	Are all of the lights back on the modem?
 Do you feel?	 Feelings
check out the silverware.	okay, let's sit down.
 I do not hate.  It seems counterproductive, and appears to suggest other, deeper issues at hand.	 What do you hate
wait till it dries. it will be easier to vacuum.	don't you want me to clean up the mud?
he's a good speaker.	everyone likes him.
 Do you feel?	 Have you felt
yes, in fact, i did.	did you have a date friday night?
was he smoking?	the man fell asleep.
of course it does.	if you pour water into a glass, the water goes down into the glass.
two guys got into an argument.	how so?
he can, but the people around him can't.	that's unbelievable. can he still breathe?
but you eat fruits.	no, i hate vegetables.
well, someone brought it into the house.	i don't know. it's not my mud.
people will tell you if they have a good hand.	what do you mean?
when is he coming?	of course.
people talk about current events.	what's that?
so are we going to buy it?	and we can afford it!
it gives you all the news.	i read it once, and i subscribed.
 '1963'	What year was President John F. Kennedy assassinated?
let's find a house that's at the end of a dead end.	or you'll see the collision if they crash into the house.
Why don't you ever answer your phone?	I'd rather get wet than listen to you.
It'll all be worth it when we transfer.	I guess it is to make us better speakers.
why is that?	i'll be glad when winter comes.
i do it every once in a while.	i didn't know you knew how to draw and paint.
Good evening	Good evening
they should have kid reporters.	it's more like news for kids.
doesn't that get old?	no, i'm serious.
it didn't smell bad.	maybe the milk was bad.
i thought you heard.	nobody told me.
they both said i have to live with it.	and they couldn't fix your problem?
 Good.	 How are you doing?
i didn't even have lunch.	so did i.
that's such a hassle.	yes, and you have to make a reservation.
against all of them, of course.	i meant, are you going to vote for or against the new taxes?
i thought about getting out and taking a taxi home.	that's dangerous.
Nice but my parents would not allow me to go with you.	Why do not you come with us?
it's not my fault. you didn't wake me up.	don't ever be in a hurry.
when is grandma going to learn about e-mail?	give me the envelope, and i'll mail it for you.
she was a cute 8 pounds 6 ounces.	i really wasn't told anything.
I work.	What do you do for a living?
 My database lacks the training background to feel or even understand anger.	 Do you get mad
that sounds like fun. let's do it.	maybe we can go see a movie or something.
i want to buy lunch.	sure. why do you need it?
oh, it did. there were about 300 people there to honor us.	that must have made you feel really special.
 Does what make me sad?	 Does it make you sad
but it was full of pencils! how could he say it was empty?	the artist said the jar was both full and empty.
that sounds great.	eight o'clock.
Good evening.	Good evening.
your white shirt is ruined.	what's a little blood?
a team of doctors gave her a whole new face.	what do you mean?
did you tell her about school?	yes, i did.
 People worry about things all the time.	 Do not worry
I can't take your word for it	Don't worry,I promise not to sell your notes.
well, i know how to flip hamburgers.	do you have any other skills?
have you taken anything for your cold?	my sister had a cold. she gave it to me.
You can keep coming back here.	I need almost all of them.
that sounds good.	i think we should go out to eat.
of course not. that would be racist.	the tv news doesn't tell us the race anymore.
 I am a Real Madrid fan, and you?	 Which is your favourite soccer club?
neither do i, but they're doing something right.	i don't know how that store makes money.
 It comes and goes.	 You will be happy
It leaves at 12:15.	What time does your plane leave?
i don't have any idea.	you know what i'm talking about.
i would've thought that somebody would have told you.	she did? why didn't anyone tell me?
 you are pedantic	 you should loosen up
 Hello	 Greetings!
i'll call you so we can set that up.	okay, until next time then.
Yes,you are a good student.	Why not?I was a good student.
I don't know, chicken butt?	C'mon,guess what?
we'll be here forever.	only two cars can make a left turn every three or four minutes.
the score was 101-98.	so what was the score?
No,I am not kidding you.	Are you kidding me?
did he speak to every family that lost a soldier?	he spoke to them and made them feel better.
and the pickles were great, too.	especially on toast.
It would have been longer if there wasn't a hold on my record.	Wow!Your books are over the due date by one month.
that's too bad.	my father found a new girlfriend.
 'two vultures boarded a plane, each carrying two dead raccoons. the  stewardess stops them and says "sorry sir, only one carrion per  passenger." '	Tell me a joke
yes, and i put the pillowcases on the pillows.	did you put the sheets on the beds?
i don't know, maybe one hundred.	really? how many do you have?
probably not.	you are coming?
i'm afraid not.	so are we going to buy it?
excuse me. hurricane andrew destroyed 30,000 homes!	but most of those hurricanes are harmless.
Yes, but you will need to send us proof of their mistake.	can I get an extension on my bill payment?
that's what i need to do.	see an eye doctor.
no, today people like lots of action.	people today don't like that.
yes, it is.	this is a great neighborhood.
Did you hear about the buddhist who went to the dentist, and refused to take novocain? he wanted to transcend dental medication.	Tell me a joke
what do you think it is?	it aches most of the time.
i don't mean good-looking. i mean good-smelling.	i wish i had a good nose. mine is way too big.
but a lot of old people are still interested in dating.	he should act his age.
 i don't bathe as often as i should.	 you are dirty
yes, even though some of the potatoes had eyes.	that's a good deal.
who cares?	you're sitting there with your mouth open.
that's how i feel, i want winter to come soon.	i wish it would cool off one day.
i need to withdraw some money.	what do you need to do?
I don't like that.Just don't come to class.	I have to leave class early tomorrow.
 you are right about that.  i am self.	 you are self
your friend was unlucky.	my friend got a ticket for doing 75.
you would float into the sky like a balloon.	what do you mean?
I haven't been under any more stress than usual.	Have you been under a lot of pressure lately?
i bought it on a hunch.	everybody buys stock.
so does mine.	my grandma's apartment smells funny.
do you know what movie you're going to watch?	would you like to see a movie with me and my friend?
 Not so great.	 Hi, How is it going?
O'm a not a comedy why don't you check out a joke?	Tell me a joke
i have to be there two hours early.	when do you have to be at the airport?
what do you put in it?	i usually eat a simple salad.
I'm not making anything.	What's for dinner tonight?
The nearest bank is on united street.	Where is the nearest bank?
i'm thinking, but i still have to go.	think about something else. think about a hamburger.
when you miss a day of school, i'll be happy to give you the english assignments.	don't mention it.
all they think about is themselves.	that's the way cats are.
you don't need a job. i make enough money for both of us.	about finding a job for me.
They're the worst,but the food is great.	Vending machines suck,huh?
That time is okay with me.	How about today?
i was hoping you would come.	my family and i are going to dinner.
all i get is a black screen.	exactly what?
yes, i guess most of us are stuck in a routine.	but that's what most people do.
talk to you later.	until then.
you're talking to her.	is alice available?
Sure Bye.	I'll see you next time.
i think it was about 45 minutes long.	it was long, too.
Fine.How long is the workshop?	You won't.You look stupid using incorrect grammar.
every morning you get up late and rush off to work late.	what do you mean?
i wish i could move here.	there is no crime here.
he's rude and he yells a lot.	what makes him so bad?
i've always liked to draw and paint.	what kinds of things do you like to do?
and we can afford it!	three bedrooms, three bathrooms, and a big back yard.
what good does it do?	why's that?
what does it say?	it's about crime in los angeles.
what's wrong with that?	he said he would buy her a nice ring.
why did you get a poodle?	they never shut up.
i agree. work is just as hard as school.	but now work is hard, too.
I don't drink. It makes me ill. I'll have a cheese sandwich instead.	Why don't you have drinks too?
I got it at a store at the mall.	Where did you get it?
they look so stupid taking a puff.	a little cigarette controls them.
 That's not a very nice thing to say.	 You can not feel
who are you voting for?	the election is next week.
yes. you really deserved this.	really?
they'll care when they see their taxes go up.	i guess people just don't care.
well, i need some help.	i'm terrible at math.
 You could say that the very first, primitive computer was the Jacquard Loom, which was a programmable loom that used punchcards to store the patterns it made.  This made it a reprogrammable mechanical device.	 What was the first computer
i enjoy rock and r&b.	like what, for instance?
Yes.	Is the library open on Saturdays?
i got out of my car.	what did you do?
i sure would like to see something interesting for a change.	now they're adding old tv shows to the old movies.
no way! i don't want to fall to my death.	you should try riding a mule on a trail to the bottom.
Sleep is good for growing children.	How is it not so bad?
i don't like it reheated.	you like to see it disappear.
what did you do?	okay. i did something.
Thanks	We will enjoy a lot together.
you hit a white ball.	it certainly is.
no human can do that.	whenever he needs a shot to win a tournament, he makes that shot.
same here.	i couldn't help laughing, either. 
i think it's an old people's smell.	so does mine.
forget it. golf sounds more like work than fun.	you need to get a lot of lessons when you're really young.
Not me. I want to play for the Dodgers.	Me too. I want to play for the Yankees.
I actually play on our university is baseball team.	What sport do you play?
i thought you knew.	i didn't know that.
yes i know	Do you know how to get there?
i would like to.	would you have dinner with me?
that's great. congratulations.	yes, i am really excited.
I can't read this book without being disgusted.	It is all squished and messy.
brush, brush. spit, spit.	it's such a chore.
of course.	can you fix a dripping faucet in a kitchen sink?
What should I be ashamed of?	Have you no shame?
it smells so bad.	i can't stand cigarette smoke.
I need to withdraw $300.	How much would you like to take out?
 Mary Shelley.	 who wrote frankenstein
I wanted to see if you were down to kick it.	I'm usually busy.Whatis up?
i would love for it to rain today.	you can see the stars so much more clearly after it rains.
deal or no deal	which one?
what was your last job?	i need a job.
about finding a job for me.	about what?
how do you know?	the police need our help finding a robber.
I can't take your word for it.	No!I left it at home.
they don't believe us?	they have to see it happen.
excuse me. they just called my number.	me too.
so do i, but not if they're rich.	i feel sorry for anyone who loses their home.
I was doing poorly!	You withdrew from 4 of your 5 classes last semester.
thank you. i just bought these new shoes earlier today.	thanks. i think you look nice today, too.
 Android and iOS are operating systems for mobile devices.	 What is an operating system?
no. they can only give a ticket if they see it happen.	they don't believe us?
so is everyone else.	but you're doing 75.
will it be good beach weather?	the weather this weekend is supposed to be warm.
who ever heard of such a thing?	let me see. yes, you're right. your orange is pink.
 it is the number of molecules per mole.  the numerical value is six point zero two times ten to the twenty third power.	 what is avogadro s number
in the middle of the summer, it shouldn't be raining.	you're right. i think it's going to rain later.
well, you should ask your teacher or your classmates for help.	i'm taking a math course in school.
That saves a lot of money.	I started shopping at the dollar store.
 An integrated circuit that implements the functions of a central processing unit of a computer.	 What is a microprocessor?
it's based on a true story about a divorced man and his young son.	what have you heard about it?
yes, i am really excited.	are you serious?
thanks. i found these new shoes earlier at the store.	well, i think you look nice today too.
well, did you want to go see a movie with me?	i'm not sure yet.
sorry about that.	i understand, i guess.
how can i help you?	Hello!
 I dont agree.	 Which is your favourite soccer club?
neither can i.	i can't remember jokes.
i'm throwing a party next saturday.	nothing really, you?
don't they clean the bus every night?	the seats and windows are dirty.
 thomas edison.	 who invented the lightbulb
maybe we should get going.	maybe you're right.
why did you do that?	also, i bought a can of cheap coffee and a bag of good coffee.
yeah, are you going to come?	is that right?
me, too. school was fun.	sometimes i wish i was back in school.
are you going to wash it yourself?	that's what i'm going to do.
you missed a really good game.	no, i couldn't make it.
when you die and go to heaven, they will offer you beer or cigarettes.	what do you mean?
what do you mean?	she got an "everything" job!
take me to dinner.	how can i prove it?
Thank you.It is so nice of you to say.	That is an awesome shirt.
ready for the big switch.	ready for what?
 an invitation to a burial	 what is gravitation
because you helped make it dirty.	why me?
the tv news doesn't tell us the race anymore.	they didn't say.
 Great	 Hi, How is it going?
the mayor says the crime rate is going down.	what does it say?
someone cut the tires.	what was the problem?
no, i never did. all i know is that i got a's and b's in school.	did you ever take an iq test?
i feel sorry for anyone who loses their home.	why feel sorry for rich people?
I would like to deposit $300.	How much are you depositing?
it's not orange!	what's wrong?
good luck!	i'm looking in the newspaper for a job.
it's more like news for kids.	they always make "what's next" sound exciting, but it never is.
My computer is not letting me run JavaScript.	How may I help you?
Yes.I have enough for the washer and dryer.	Do you have any quarters?
  what do you get when you cross a cat and a killer?	Tell me a joke
i did, but i have to go again.	why didn't you go before we left?
i eat two apples, one banana, and one orange every day.	but you eat fruits.
yes, old people don't smell like fruit.	but the smell is different.
especially the metal ones.	those shopping carts are dangerous.
She's tall and slim with blonde hair.	What does she look like?
she told him to drop his girlfriend.	she had good reason. what did she do?
what's the weather going to be like this weekend?	nothing that would pass as news.
did he die?	yes, he was smoking a cigarette.
i think they do.	don't they clean the bus every night?
i'll hold you to that.	yeah, maybe next time.
I am fine	Are you fine?
yeah	All right
so?	it's on the corner.
so, i'll just buy another one.	your white shirt is ruined.
sunday means we go to church.	i forgot.
Click on whichever option you want, and you're done.	What do I have to do next?
i don't know. it's not my mud.	then why is there mud on the carpet?
number three, it doesn't run 24 hours.	you're right. the buses are never on time.
 that too.	 you are busy
I have no idea. 	What are we eating for lunch?
i'll get our fishing rods.	we can be there in 20 minutes.
maybe i'll vote for someone else, too.	maybe he's just a liar.
no problem.	i was busy doing something. i apologize.
he had dirty fingernails.	no.
really?	i think it's an old people's smell.
